"","H","epoch","Train-TP","Train-FP","Train-TN","Train-FN","Train-%","Train-CE","Val-TP","Val-FP","Val-TN","Val-FN","Val-%","Val-CE"
"1",2,10,75,0,215,140,0.325581395348837,279.388910945178,205,391,3513,11,0.0975728155339806,946.845050436939
"2",2,20,93,0,215,122,0.283720930232558,206.474823558666,214,569,3335,2,0.138592233009709,1724.07081299186
"3",2,30,104,0,215,111,0.258139534883721,185.092506784429,215,607,3297,1,0.147572815533981,2068.62695791299
"4",2,40,108,0,215,107,0.248837209302326,172.03396052402,215,635,3269,1,0.154368932038835,2280.78689605792
"5",2,50,108,0,215,107,0.248837209302326,170.648879606247,215,633,3271,1,0.153883495145631,2307.80178614444
"6",2,60,107,0,215,108,0.251162790697674,171.733385461414,215,638,3266,1,0.155097087378641,2289.97895009455
"7",2,70,109,0,215,106,0.246511627906977,165.879435989113,215,652,3252,1,0.158495145631068,2357.88718657245
"8",2,80,110,0,215,105,0.244186046511628,164.688207794017,215,656,3248,1,0.159466019417476,2362.72705806911
"9",2,90,118,0,215,97,0.225581395348837,153.956960348076,215,688,3216,1,0.167233009708738,2491.84701895714
"10",2,100,119,0,215,96,0.223255813953488,148.133397036328,215,697,3207,1,0.169417475728155,2533.30605566797
"11",2,110,121,0,215,94,0.218604651162791,152.211055106245,215,703,3201,1,0.170873786407767,2468.52541732445
"12",2,120,127,0,215,88,0.204651162790698,130.298974672007,215,733,3171,1,0.178155339805825,2781.8782440515
"13",2,130,128,0,215,87,0.202325581395349,129.367249358466,215,741,3163,1,0.180097087378641,2735.96406417087
"14",2,140,127,0,215,88,0.204651162790698,131.272529444101,215,741,3163,1,0.180097087378641,2716.68606659194
"15",2,150,131,0,215,84,0.195348837209302,122.388615480767,215,747,3157,1,0.181553398058252,2881.8054975917
"16",2,160,132,1,214,83,0.195348837209302,118.693213638199,215,780,3124,1,0.189563106796117,2937.48769758433
"17",2,170,135,1,214,80,0.188372093023256,115.058469846293,215,786,3118,1,0.191019417475728,2987.07451614076
"18",2,180,129,0,215,86,0.2,118.414107791184,214,734,3170,2,0.178640776699029,2901.19983634516
"19",2,190,129,0,215,86,0.2,115.617605493149,214,731,3173,2,0.177912621359223,3009.83705724999
"20",2,200,127,0,215,88,0.204651162790698,114.741262114051,214,707,3197,2,0.172087378640777,3001.55466940812
